ComponenteCurricular;Eixo;UTE;SABER;APR
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Identificar elementos constituintes da sociedade atual."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Reconhecer as relações históricas do passado e presente na sociedade atual."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Analisar as relações entre aspectos históricos da formação da sociedade e dos sujeitos."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Reconhecer-se parte integrante de uma sociedade como sujeito histórico e atuante."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Diferenciar direitos e deveres."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Reconhecer-se como sujeito de direito e pessoa em desenvolvimento."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Conhecer os direitos e deveres das crianças e dos adolescentes e os diferentes sistemas de garantia contra ameaças e violações."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Conhecer os fundamentos básicos da cidadania."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Compreender os fundamentos básicos da cidadania e democracia."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Valorizar os fundamentos básicos da cidadania e democracia."
